IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.22,91.1,9.4,Aktif,Menengah,Perempuan,Ya,Ya
2.94,100.0,9.1,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.29,63.2,5.4,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.69,86.8,3.1,Aktif,Rendah,Laki-laki,Tidak,Ya
2.89,72.2,8.2,Aktif,Menengah,Laki-laki,Tidak,Ya
2.89,74.2,7.3,Aktif,Menengah,Perempuan,Tidak,Ya
3.71,72.9,8.3,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.35,69.6,6.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.79,80.6,10.2,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.24,70.0,5.8,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
2.79,83.2,9.6,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.79,79.4,6.0,Aktif,Rendah,Perempuan,Tidak,Ya
3.11,77.1,12.6,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.14,69.1,3.2,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
2.22,73.1,10.9,Aktif,Rendah,Perempuan,Ya,Ya
2.75,89.1,7.6,Aktif,Tinggi,Perempuan,Tidak,Tidak
2.54,86.0,2.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.14,68.3,5.5,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.59,81.2,5.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.36,89.0,7.1,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.66,60.0,6.9,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.9,86.5,,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.03,72.0,4.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.36,86.8,14.1,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.76,70.8,10.9,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.05,58.3,7.1,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.48,60.5,6.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.17,80.6,5.4,Aktif,Menengah,Perempuan,Tidak,Ya
2.73,83.1,8.4,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.87,69.1,2.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.73,87.7,6.3,Aktif,Menengah,Perempuan,Tidak,Tidak
3.83,60.1,0.0,Aktif,Rendah,Perempuan,Tidak,Ya
2.99,79.2,7.1,Aktif,Menengah,Perempuan,Tidak,Tidak
2.52,65.5,6.9,Aktif,Menengah,Perempuan,Ya,Tidak
3.37,72.2,4.7,Aktif,Rendah,Laki-laki,Ya,Tidak
2.45,80.6,11.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.09,69.7,1.3,Aktif,Tinggi,Perempuan,Tidak,Tidak
2.12,75.4,0.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.4,92.1,6.9,Aktif,Menengah,Laki-laki,Tidak,Ya
3.09,73.1,8.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.33,90.0,12.2,Aktif,Rendah,Perempuan,Tidak,Ya
3.08,66.4,3.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.95,86.4,6.5,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.86,97.3,6.0,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.33,50.3,3.6,Aktif,Rendah,Laki-laki,Ya,Tidak
2.68,70.4,6.7,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.79,86.9,6.9,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.48,,1.3,,Rendah,Perempuan,Tidak,Tidak
3.15,84.5,11.9,Aktif,Menengah,Perempuan,Tidak,Ya
2.21,72.8,10.2,Aktif,Tinggi,Perempuan,Tidak,Ya
3.15,81.0,3.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.83,78.1,7.6,Tidak Aktif,Tinggi,Perempuan,Ya,Tidak
2.7,94.0,7.4,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.28,83.1,6.2,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.46,84.1,3.3,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.42,75.1,2.1,Aktif,Rendah,Perempuan,Tidak,Tidak
2.62,74.1,5.4,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.86,74.8,9.5,Aktif,Menengah,Laki-laki,Tidak,Ya
3.15,84.7,7.7,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.44,74.9,4.3,Tidak Aktif,Menengah,Perempuan,Ya,Ya
,,7.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.92,100.0,1.2,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.5,90.5,8.4,Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.46,76.1,1.4,Aktif,Menengah,Perempuan,Tidak,Tidak
3.37,94.4,4.3,Aktif,Tinggi,Perempuan,Tidak,Ya
3.61,75.1,1.7,Aktif,Menengah,Perempuan,Tidak,Ya
2.97,55.5,0.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.45,67.9,8.6,Aktif,Tinggi,Perempuan,Ya,Ya
3.16,57.6,4.9,,Rendah,Perempuan,Tidak,Ya
2.71,75.8,7.4,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.16,80.2,6.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
3.69,100.0,8.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.98,83.9,5.2,Aktif,Tinggi,Perempuan,Tidak,Ya
3.7,77.4,1.7,Tidak Aktif,Tinggi,Laki-laki,Ya,Ya
1.82,90.0,8.5,Aktif,Rendah,Perempuan,Ya,Ya
3.37,53.5,5.1,Aktif,Tinggi,Laki-laki,Ya,Tidak
3.04,82.8,0.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.87,,5.9,Aktif,Menengah,Laki-laki,Tidak,Ya
3.04,62.3,10.9,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.11,93.7,10.8,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
2.9,84.1,4.7,Aktif,Rendah,Perempuan,Ya,Ya
3.16,75.0,5.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
,87.6,7.5,Aktif,Menengah,Laki-laki,Ya,Ya
2.77,100.0,12.2,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.64,82.2,5.7,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.77,83.0,5.5,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.41,74.5,9.6,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.15,69.8,,Aktif,Menengah,Laki-laki,Ya,Ya
2.76,90.0,5.1,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.23,69.7,5.5,Aktif,Rendah,Laki-laki,Ya,Ya
3.04,80.9,6.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.44,74.3,6.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.68,85.7,8.6,Aktif,Rendah,Perempuan,Tidak,Tidak
,84.0,7.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
2.82,92.5,7.6,Aktif,Menengah,Laki-laki,Tidak,Ya
2.34,73.9,4.9,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.13,76.8,5.4,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.12,68.3,0.5,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.0,74.7,9.5,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.89,84.5,7.6,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.36,89.1,10.5,Aktif,Menengah,Laki-laki,Tidak,Tidak
2.81,68.9,0.0,Aktif,Rendah,Perempuan,Ya,Tidak
2.85,90.4,14.2,Aktif,Menengah,Laki-laki,Tidak,Ya
2.64,96.3,7.6,Aktif,Menengah,Perempuan,Ya,Tidak
2.93,85.0,10.2,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.18,100.0,5.3,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
